detid,Unnamed: 0_x,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage,Unnamed: 0_y,type,location_desc,lat,lon
4033011,85,2023-12-05T18:00:00.000+01:00,39,anyVehicle,42.84,carOrLightVehicle,2.0,132.0,Doppelschleife,"Prinzregentenstrasse, 20m westl. Wagenbauerstr.",48.138115,11.618207
4033012,86,2023-12-05T18:00:00.000+01:00,88,anyVehicle,42.84,carOrLightVehicle,6.0,133.0,Doppelschleife,"Prinzregentenstrasse, 20m westl. Wagenbauerstr.",48.138096,11.618207
4035011,87,2023-12-05T18:00:00.000+01:00,163,anyVehicle,42.12,carOrLightVehicle,7.0,136.0,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.177963,11.574196
4035012,88,2023-12-05T18:00:00.000+01:00,294,anyVehicle,45.72,carOrLightVehicle,13.0,137.0,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.177982,11.5741825
4035013,89,2023-12-05T18:00:00.000+01:00,346,anyVehicle,37.44,carOrLightVehicle,21.0,138.0,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.178017,11.5741825
4036011,90,2023-12-05T18:00:00.000+01:00,141,anyVehicle,39.96,carOrLightVehicle,8.0,139.0,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt LeopoldstraÃe + Hauptfahrbahn, Block 91 (MQ 3)",48.17752,11.583437
4037011,91,2023-12-05T18:00:00.000+01:00,347,anyVehicle,48.24,carOrLightVehicle,16.0,143.0,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.17736,11.586639
4037012,92,2023-12-05T18:00:00.000+01:00,181,anyVehicle,60.12,carOrLightVehicle,6.0,144.0,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.177387,11.586638
4037013,93,2023-12-05T18:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,0.0,145.0,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.1774,11.586638
4038011,94,2023-12-05T18:00:00.000+01:00,332,anyVehicle,40.32,carOrLightVehicle,18.0,146.0,Doppelschleife,"NordrÃ¶hre Hauptfahrbahn, Ostportal  Block 119 (MQ 5)",48.177704,11.587214
4038012,95,2023-12-05T18:00:00.000+01:00,309,anyVehicle,45.0,carOrLightVehicle,14.0,147.0,Doppelschleife,"NordrÃ¶hre Hauptfahrbahn, Ostportal  Block 119 (MQ 5)",48.17769,11.587214
4039011,96,2023-12-05T18:00:00.000+01:00,146,anyVehicle,45.36,carOrLightVehicle,6.0,148.0,Doppelschleife,"NordrÃ¶hre Einfahrt Rampe LeopoldstraÃe, Block 90 (MQ 6)",48.177692,11.583436
4041011,97,2023-12-05T18:00:00.000+01:00,209,anyVehicle,46.08,carOrLightVehicle,9.0,152.0,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.17818,11.574544
4041012,98,2023-12-05T18:00:00.000+01:00,286,anyVehicle,51.12,carOrLightVehicle,12.0,153.0,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.178146,11.574544
4041013,99,2023-12-05T18:00:00.000+01:00,306,anyVehicle,57.6,carOrLightVehicle,11.0,154.0,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.17811,11.574544
4044011,100,2023-12-05T18:00:00.000+01:00,65,anyVehicle,37.8,carOrLightVehicle,9.0,157.0,Doppelschleife,Riemer Str. Haus Nr. 274 (ca. 20m Ã¶stlich Schatzbogen),48.13976,11.669388
