id;cpath;mgeom;lat;lon
4045011;2065;LINESTRING(11.6782342524 48.1398179265,11.6782342524 48.1398179265);48.1398179265;11.6782342524
4046011;2067;LINESTRING(11.6772370483 48.1400370932,11.6772370483 48.1400370932);48.1400370932;11.6772370483
4047011;13684;LINESTRING(11.6901212376 48.1391484039,11.6901212376 48.1391484039);48.1391484039;11.6901212376
4047012;35870;LINESTRING(11.6900645223 48.1392439967,11.6900645223 48.1392439967);48.1392439967;11.6900645223
4048011;1575;LINESTRING(11.6894206197 48.1382776165,11.6894206197 48.1382776165);48.1382776165;11.6894206197
4048012;1575;LINESTRING(11.6894206197 48.1382776165,11.6894206197 48.1382776165);48.1382776165;11.6894206197
4049011;1766;LINESTRING(11.6881074693 48.1383025269,11.6881074693 48.1383025269);48.1383025269;11.6881074693
4049012;1766;LINESTRING(11.6881105763 48.1383037497,11.6881105763 48.1383037497);48.1383037497;11.6881105763
4050011;1179;LINESTRING(11.6882991568 48.1384799335,11.6882991568 48.1384799335);48.1384799335;11.6882991568
4050012;1179;LINESTRING(11.6883141161 48.1384863459,11.6883141161 48.1384863459);48.1384863459;11.6883141161
4051011;5439;LINESTRING(11.7079746474 48.1380691509,11.7079746474 48.1380691509);48.1380691509;11.7079746474
4051012;5439;LINESTRING(11.7079746474 48.1380691509,11.7079746474 48.1380691509);48.1380691509;11.7079746474
4054011;22781;LINESTRING(11.7057344116 48.1383549698,11.7057344116 48.1383549698);48.1383549698;11.7057344116
4054012;22779;LINESTRING(11.7057788341 48.1384525536,11.7057788341 48.1384525536);48.1384525536;11.7057788341
4055011;22779;LINESTRING(11.7057667951 48.1384549528,11.7057667951 48.1384549528);48.1384549528;11.7057667951
4055012;22779;LINESTRING(11.7057435755 48.1384598383,11.7057435755 48.1384598383);48.1384598383;11.7057435755
4059011;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231);48.1397585231;11.7124073808
4059012;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231);48.1397585231;11.7124073808
4059013;3834;LINESTRING(11.7124073808 48.1397585231,11.7124073808 48.1397585231);48.1397585231;11.7124073808
4060011;1173;LINESTRING(11.6901957965 48.135976343,11.6901957965 48.135976343);48.135976343;11.6901957965
4060012;1173;LINESTRING(11.6901957965 48.135976343,11.6901957965 48.135976343);48.135976343;11.6901957965
4061011;1175;LINESTRING(11.6903297738 48.1350223162,11.6903297738 48.1350223162);48.1350223162;11.6903297738
4061012;1175;LINESTRING(11.6903299807 48.1350208634,11.6903299807 48.1350208634);48.1350208634;11.6903299807
4063011;29189;LINESTRING(11.6925217455 48.1334490223,11.6925217455 48.1334490223);48.1334490223;11.6925217455
4063012;29189;LINESTRING(11.692510679 48.1334489229,11.692510679 48.1334489229);48.1334489229;11.692510679
4066011;4895;LINESTRING(11.7026614258 48.1335298154,11.7026614258 48.1335298154);48.1335298154;11.7026614258
4066012;4895;LINESTRING(11.7026926165 48.1335300684,11.7026926165 48.1335300684);48.1335300684;11.7026926165
4070011;1796;LINESTRING(11.7141230788 48.1344851247,11.7141230788 48.1344851247);48.1344851247;11.7141230788
4070012;1796;LINESTRING(11.7141169212 48.1344814102,11.7141169212 48.1344814102);48.1344814102;11.7141169212
4071011;1164;LINESTRING(11.7151896576 48.1369317887,11.7151896576 48.1369317887);48.1369317887;11.7151896576
4071012;1164;LINESTRING(11.7151921179 48.1369248912,11.7151921179 48.1369248912);48.1369248912;11.7151921179
4072011;1754;LINESTRING(11.6859606796 48.1421719569,11.6859606796 48.1421719569);48.1421719569;11.6859606796
4072012;1754;LINESTRING(11.6859658188 48.1421645427,11.6859658188 48.1421645427);48.1421645427;11.6859658188
4073011;29422;LINESTRING(11.6875781837 48.1414897602,11.6875781837 48.1414897602);48.1414897602;11.6875781837
4075011;20083;LINESTRING(11.6861473602 48.1410997519,11.6861473602 48.1410997519);48.1410997519;11.6861473602
4077011;22789;LINESTRING(11.6916237281 48.139920338,11.6916237281 48.139920338);48.139920338;11.6916237281
4077012;22789;LINESTRING(11.6916124268 48.1399161864,11.6916124268 48.1399161864);48.1399161864;11.6916124268
4081011;1580;LINESTRING(11.6947122112 48.1405467577,11.6947122112 48.1405467577);48.1405467577;11.6947122112
4081012;1580;LINESTRING(11.6947122112 48.1405467577,11.6947122112 48.1405467577);48.1405467577;11.6947122112
4083011;1181;LINESTRING(11.6710648683 48.1349448047,11.6710648683 48.1349448047);48.1349448047;11.6710648683
4087011;29410;LINESTRING(11.6733866939 48.1373931975,11.6733866939 48.1373931975);48.1373931975;11.6733866939
4087012;26999;LINESTRING(11.6733602055 48.1371637049,11.6733602055 48.1371637049);48.1371637049;11.6733602055
4088011;26999;LINESTRING(11.6726213307 48.1371810212,11.6726213307 48.1371810212);48.1371810212;11.6726213307
4089011;5283;LINESTRING(11.6733973766 48.1386876405,11.6733973766 48.1386876405);48.1386876405;11.6733973766
4091011;29580;LINESTRING(11.6725146958 48.1396924132,11.6725146958 48.1396924132);48.1396924132;11.6725146958
4093011;1765;LINESTRING(11.6858707571 48.1378086475,11.6858707571 48.1378086475);48.1378086475;11.6858707571
4097011;1337;LINESTRING(11.5481088282 48.1121738034,11.5481088282 48.1121738034);48.1121738034;11.5481088282
4097012;1337;LINESTRING(11.5481071991 48.1121736632,11.5481071991 48.1121736632);48.1121736632;11.5481071991
4097013;7354;LINESTRING(11.5481126424 48.112113815,11.5481126424 48.112113815);48.112113815;11.5481126424
4097021;326;LINESTRING(11.5481123597 48.1120529299,11.5481123597 48.1120529299);48.1120529299;11.5481123597
4097022;326;LINESTRING(11.5481099452 48.1120527448,11.5481099452 48.1120527448);48.1120527448;11.5481099452
4097023;7354;LINESTRING(11.5481045987 48.1121131114,11.5481045987 48.1121131114);48.1121131114;11.5481045987
4099011;1595;LINESTRING(11.5924177758 48.1422732165,11.5924177758 48.1422732165);48.1422732165;11.5924177758
4099012;1595;LINESTRING(11.5924220987 48.1422722708,11.5924220987 48.1422722708);48.1422722708;11.5924220987
4099013;1595;LINESTRING(11.5924238051 48.1422718976,11.5924238051 48.1422718976);48.1422718976;11.5924238051
4100011;1722;LINESTRING(11.6153755792 48.1295953193,11.6153755792 48.1295953193);48.1295953193;11.6153755792
4100012;1722;LINESTRING(11.6153755053 48.1295970375,11.6153755053 48.1295970375);48.1295970375;11.6153755053
4100021;28357;LINESTRING(11.6152263039 48.1295803218,11.6152263039 48.1295803218);48.1295803218;11.6152263039
4100022;7194;LINESTRING(11.6152621141 48.1295965792,11.6152621141 48.1295965792);48.1295965792;11.6152621141
4100031;7378;LINESTRING(11.6150560977 48.129651821,11.6150560977 48.129651821);48.129651821;11.6150560977
4100032;7378;LINESTRING(11.6150571919 48.1296421941,11.6150571919 48.1296421941);48.1296421941;11.6150571919
4101011;7263;LINESTRING(11.6150777064 48.1367313155,11.6150777064 48.1367313155);48.1367313155;11.6150777064
4101012;7188;LINESTRING(11.6150081941 48.1366813729,11.6150081941 48.1366813729);48.1366813729;11.6150081941
4102011;7261;LINESTRING(11.6154326861 48.1428745927,11.6154326861 48.1428745927);48.1428745927;11.6154326861
4102012;7261;LINESTRING(11.6154326861 48.1428745927,11.6154326861 48.1428745927);48.1428745927;11.6154326861
4102013;7261;LINESTRING(11.6154326861 48.1428745927,11.6154326861 48.1428745927);48.1428745927;11.6154326861
4102021;1555;LINESTRING(11.6152708949 48.1428536077,11.6152708949 48.1428536077);48.1428536077;11.6152708949
4102022;1555;LINESTRING(11.6152708949 48.1428536077,11.6152708949 48.1428536077);48.1428536077;11.6152708949
4103011;1553;LINESTRING(11.6158157496 48.1509263784,11.6158157496 48.1509263784);48.1509263784;11.6158157496
4103012;1553;LINESTRING(11.615822549 48.1509139371,11.615822549 48.1509139371);48.1509139371;11.615822549
4103013;28279;LINESTRING(11.6158969887 48.1509447225,11.6158969887 48.1509447225);48.1509447225;11.6158969887
4104011;28602;LINESTRING(11.6147392737 48.1523554336,11.6147392737 48.1523554336);48.1523554336;11.6147392737
4104012;28602;LINESTRING(11.614729885 48.1523618188,11.614729885 48.1523618188);48.1523618188;11.614729885
