,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
110,4050011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
111,4050012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
112,4051011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
113,4051012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
114,4054011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
115,4054012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
116,4055011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
117,4055012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
118,4059011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
119,4059012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
120,4059013,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
121,4060011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
122,4060012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
123,4061011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
124,4061012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
125,4063011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
126,4063012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
127,4066011,2024-03-07T20:05:00.000+01:00,20,anyVehicle,0,,0
128,4066012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
129,4070011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
130,4070012,2024-03-07T20:05:00.000+01:00,12,anyVehicle,0,,0
131,4071011,2024-03-07T20:05:00.000+01:00,54,anyVehicle,0,,0
132,4071012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
133,4072011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
134,4072012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
135,4073011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
136,4073012,2024-03-07T20:05:00.000+01:00,1,anyVehicle,0,,0
137,4075011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
138,4077011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
139,4077012,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
140,4081011,2024-03-07T20:05:00.000+01:00,0,anyVehicle,0,,0
