detid,Unnamed: 0_x,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage,Unnamed: 0_y,type,location_desc,lat,lon
4044012,101,2023-12-05T17:00:00.000+01:00,88,anyVehicle,36.72,carOrLightVehicle,12.0,158.0,Doppelschleife,Riemer Str. Haus Nr. 274 (ca. 20m Ã¶stlich Schatzbogen),48.13976,11.669388
4045011,102,2023-12-05T17:00:00.000+01:00,35,anyVehicle,34.56,carOrLightVehicle,4.0,159.0,Doppelschleife,Am Mitterfeld gegenÃ¼ber Hs. Nr. 150,48.13975,11.678177
4046011,103,2023-12-05T17:00:00.000+01:00,59,anyVehicle,47.16,carOrLightVehicle,5.0,160.0,Doppelschleife,Riemer Str / bei SB Mast 76,48.140068,11.677234
4047011,104,2023-12-05T17:00:00.000+01:00,31,anyVehicle,45.36,carOrLightVehicle,3.0,161.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 4,48.13913,11.690129
4047012,105,2023-12-05T17:00:00.000+01:00,55,anyVehicle,42.48,carOrLightVehicle,4.0,162.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 4,48.139194,11.690086
4048011,106,2023-12-05T17:00:00.000+01:00,62,anyVehicle,42.12,carOrLightVehicle,5.0,163.0,Doppelschleife,Olof Palme Str / bei SB Mast 2,48.138275,11.689418
4048012,107,2023-12-05T17:00:00.000+01:00,106,anyVehicle,43.2,carOrLightVehicle,9.0,164.0,Doppelschleife,Olof Palme Str / bei SB Mast 2,48.138275,11.689418
4049011,108,2023-12-05T17:00:00.000+01:00,49,anyVehicle,31.32,carOrLightVehicle,5.0,165.0,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 26,48.138264,11.688123
4049012,109,2023-12-05T17:00:00.000+01:00,105,anyVehicle,28.8,carOrLightVehicle,31.0,166.0,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 26,48.13833,11.688101
4050011,110,2023-12-05T17:00:00.000+01:00,55,anyVehicle,45.72,carOrLightVehicle,4.0,167.0,Doppelschleife,Am HÃ¼llgraben / bei SB Mast 27,48.138542,11.688272
4050012,111,2023-12-05T17:00:00.000+01:00,50,anyVehicle,45.0,carOrLightVehicle,4.0,168.0,Doppelschleife,Am HÃ¼llgraben / bei SB Mast 27,48.138508,11.688305
4051011,112,2023-12-05T17:00:00.000+01:00,33,anyVehicle,51.12,carOrLightVehicle,2.0,169.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 76,48.138065,11.707974
4051012,113,2023-12-05T17:00:00.000+01:00,19,anyVehicle,50.4,carOrLightVehicle,1.0,170.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 76,48.138065,11.707974
4054011,114,2023-12-05T17:00:00.000+01:00,38,anyVehicle,52.92,carOrLightVehicle,2.0,171.0,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.13832,11.705729
