,detid,LZANR,NAME,DET_IND,DET_NAM,dtctr_t,dtctr_l,geometry,lon,lat
100,4024012,,,,,,,11.589456 48.10071,11.589456,48.10071
101,4024013,,,,,,,11.589347 48.100872,11.589347,48.100872
102,4024014,,,,,,,11.58936 48.100845,11.58936,48.100845
103,4025011,,,,,Doppelschleife,lane1,11.53938 48.091743,11.53938,48.091743
104,4026011,,,,,,,11.48057 48.09508,11.48057,48.09508
105,4026012,,,,,,,11.48057 48.095108,11.48057,48.095108
106,4027011,,,,,Doppelschleife,lane1,11.5385 48.171394,11.5385,48.171394
107,4027012,,,,,Doppelschleife,lane2,11.538528 48.171394,11.538528,48.171394
108,4027013,,,,,,,11.538474 48.170502,11.538474,48.170502
109,4028011,,,,,,,11.644811 48.164326,11.644811,48.164326
110,4028012,,,,,,,11.644939 48.164318,11.644939,48.164318
111,4029011,,,,,,,11.616376 48.14937,11.616376,48.14937
112,4029012,,,,,,,11.616336 48.14937,11.616336,48.14937
113,4029013,,,,,,,11.616161 48.14937,11.616161,48.14937
114,4029014,,,,,,,11.616201 48.14937,11.616201,48.14937
115,4031011,,,,,,,11.616454 48.13345,11.616454,48.13345
116,4031012,,,,,,,11.616427 48.133442,11.616427,48.133442
117,4031013,,,,,,,11.616401 48.133442,11.616401,48.133442
118,4031014,,,,,,,11.61628 48.133423,11.61628,48.133423
119,4031015,,,,,,,11.616294 48.133423,11.616294,48.133423
120,4031016,,,,,,,11.616307 48.133423,11.616307,48.133423
121,4032011,,,,,,,11.619246 48.13741,11.619246,48.13741
122,4032012,,,,,,,11.61926 48.137383,11.61926,48.137383
123,4033011,,,,,Doppelschleife,lane1,11.618207 48.138115,11.618207,48.138115
124,4033012,,,,,Doppelschleife,lane2,11.618207 48.138096,11.618207,48.138096
125,4034011,,,,,,,11.567874 48.17663,11.567874,48.17663
126,4034012,,,,,,,11.567861 48.176655,11.567861,48.176655
127,4035011,,,,,,,11.574196 48.177963,11.574196,48.177963
128,4035012,,,,,,,11.574182 48.177982,11.574182,48.177982
129,4035013,,,,,,,11.574182 48.178017,11.574182,48.178017
130,4036011,,,,,,,11.583437 48.17752,11.583437,48.17752
131,4036012,,,,,,,11.583437 48.17753,11.583437,48.17753
132,4036013,,,,,,,11.583437 48.177547,11.583437,48.177547
133,4036014,,,,,,,11.583437 48.177555,11.583437,48.177555
134,4037011,,,,,,,11.586639 48.17736,11.586639,48.17736
135,4037012,,,,,,,11.586638 48.177387,11.586638,48.177387
136,4037013,,,,,,,11.586638 48.1774,11.586638,48.1774
137,4038011,,,,,,,11.587214 48.177704,11.587214,48.177704
138,4038012,,,,,,,11.587214 48.17769,11.587214,48.17769
139,4039011,,,,,,,11.583436 48.177692,11.583436,48.177692
140,4040011,,,,,,,11.579213 48.177784,11.579213,48.177784
141,4040012,,,,,,,11.579213 48.17774,11.579213,48.17774
142,4040013,,,,,,,11.579214 48.177692,11.579214,48.177692
143,4041011,,,,,,,11.574544 48.17818,11.574544,48.17818
144,4041012,,,,,,,11.574544 48.178146,11.574544,48.178146
145,4041013,,,,,,,11.574544 48.17811,11.574544,48.17811
146,4044011,,,,,Doppelschleife,lane1,11.669388 48.13976,11.669388,48.13976
147,4044012,,,,,Doppelschleife,lane2,11.669388 48.13976,11.669388,48.13976
148,4045011,,,,,Doppelschleife,lane1,11.678177 48.13975,11.678177,48.13975
149,4046011,,,,,,,11.677234 48.140068,11.677234,48.140068
150,4047011,,,,,,,11.690129 48.13913,11.690129,48.13913
151,4047012,,,,,,,11.690086 48.139194,11.690086,48.139194
152,4048011,,,,,,,11.689418 48.138275,11.689418,48.138275
153,4048012,,,,,,,11.689418 48.138275,11.689418,48.138275
