,detid,type,location_desc,lat,lon
81,4016011,Doppelschleife,Olympiaknoten Videodetektion 2,48.175716,11.539121
82,4019011,Einfachschleife,HeidemannstraÃe,48.20046,11.604775
83,4019012,Einfachschleife,HeidemannstraÃe,48.200512,11.604789
84,4019013,Einfachschleife,HeidemannstraÃe,48.2007,11.604828
85,4019014,Einfachschleife,HeidemannstraÃe,48.200645,11.604815
86,4020011,Doppelschleife,Effnerstr.,48.155342,11.616802
87,4020012,Doppelschleife,Effnerstr.,48.155334,11.616829
88,4020013,Doppelschleife,Effnerstr.,48.155308,11.616897
89,4020014,Doppelschleife,Effnerstr.,48.155315,11.616856
90,4021011,Einfachschleife,Denninger Str.,48.14864,11.621636
91,4021012,Einfachschleife,Denninger Str.,48.148613,11.621623
92,4021013,Einfachschleife,Denninger Str.,48.14852,11.621611
93,4021014,Einfachschleife,Denninger Str.,48.14856,11.62161
94,4022011,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",48.129498,11.657216
95,4022012,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",48.12948,11.6572695
96,4022013,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",48.129444,11.657391
97,4022014,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",48.12946,11.657337
98,4022021,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",,
99,4022022,Doppelschleife,"Schatzbogen, 30m sÃ¼dl. Heltauer Str.",,
100,4023011,Doppelschleife,Heinrich-Wieland-Str.,48.118404,11.632987
101,4023012,Doppelschleife,Heinrich-Wieland-Str.,48.118332,11.63295
102,4023013,Doppelschleife,Heinrich-Wieland-Str.,48.11816,11.632858
103,4023014,Doppelschleife,Heinrich-Wieland-Str.,48.118233,11.632912
104,4024011,Einfachschleife,Stadelheimer Str.,48.100685,11.589469
105,4024012,Einfachschleife,Stadelheimer Str.,48.10071,11.589456
106,4024013,Einfachschleife,Stadelheimer Str.,48.100872,11.589347
107,4024014,Einfachschleife,Stadelheimer Str.,48.100845,11.58936
108,4025011,Doppelschleife,"Wolfratshauser Str., nÃ¶rdlich LudwigshÃ¶her Str.",48.091743,11.53938
109,4025021,Doppelschleife,"Wolfratshauser Str., nÃ¶rdlich LudwigshÃ¶her Str.",,
110,4026011,Einfachschleife,"Forst Kasten Allee, westlich GraubÃ¼ndener Str.",48.09508,11.48057
111,4026012,Einfachschleife,"Forst Kasten Allee, westlich GraubÃ¼ndener Str.",48.095108,11.48057
112,4027011,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",48.171394,11.5385
113,4027012,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",48.171394,11.5385275
114,4027013,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",,
115,4027021,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",,
116,4027022,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",,
117,4027023,Doppelschleife,"Landshuter Allee, sÃ¼dl. Georg-Brauchle-Ring, bei HengelstraÃe",,
118,4028011,Einfachschleife,FreischÃ¼tzstr.,48.164326,11.644811
119,4028012,Einfachschleife,FreischÃ¼tzstr.,48.164318,11.644939
120,4029011,Doppelschleife,Richard-StrauÃ-Str. - Denninger Str.,48.14937,11.616376
121,4029012,Doppelschleife,Richard-StrauÃ-Str. - Denninger Str.,48.14937,11.616336
122,4029013,Doppelschleife,Richard-StrauÃ-Str. - Denninger Str.,48.14937,11.616161
123,4029014,Doppelschleife,Richard-StrauÃ-Str. - Denninger Str.,48.14937,11.616201
124,4031011,Doppelschleife,Leuchtenbergring,48.13345,11.616454
125,4031012,Doppelschleife,Leuchtenbergring,48.133442,11.616427
126,4031013,Doppelschleife,Leuchtenbergring,48.133442,11.616401
127,4031014,Doppelschleife,Leuchtenbergring,48.133423,11.61628
128,4031015,Doppelschleife,Leuchtenbergring,48.133423,11.616294
129,4031016,Doppelschleife,Leuchtenbergring,48.133423,11.616307
130,4032011,Doppelschleife,"Einsteinstr., westlich Vogelweideplatz",48.13741,11.6192465
131,4032012,Doppelschleife,"Einsteinstr., westlich Vogelweideplatz",48.137383,11.61926
132,4033011,Doppelschleife,"Prinzregentenstrasse, 20m westl. Wagenbauerstr.",48.138115,11.618207
133,4033012,Doppelschleife,"Prinzregentenstrasse, 20m westl. Wagenbauerstr.",48.138096,11.618207
134,4034011,Doppelschleife,"SÃ¼drÃ¶hre Westportal,  Block 2    MQ 1",48.17663,11.567874
135,4034012,Doppelschleife,"SÃ¼drÃ¶hre Westportal,  Block 2    MQ 1",48.176655,11.567861
136,4035011,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.177963,11.574196
137,4035012,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.177982,11.5741825
138,4035013,Doppelschleife,"SÃ¼drÃ¶hre, Rampe Belgradstr. + Hauptfahrbahn,  Block 47 (MQ 2)",48.178017,11.5741825
139,4036011,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt LeopoldstraÃe + Hauptfahrbahn, Block 91 (MQ 3)",48.17752,11.583437
140,4036012,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt LeopoldstraÃe + Hauptfahrbahn, Block 91 (MQ 3)",48.17753,11.583437
141,4036013,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt LeopoldstraÃe + Hauptfahrbahn, Block 91 (MQ 3)",48.177547,11.583437
142,4036014,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt LeopoldstraÃe + Hauptfahrbahn, Block 91 (MQ 3)",48.177555,11.583437
143,4037011,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.17736,11.586639
144,4037012,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.177387,11.586638
145,4037013,Doppelschleife,"SÃ¼drÃ¶hre Ausfahrt BAB A9 + Hauptfahrbahn,  Block 109 (MQ 4)",48.1774,11.586638
146,4038011,Doppelschleife,"NordrÃ¶hre Hauptfahrbahn, Ostportal  Block 119 (MQ 5)",48.177704,11.587214
147,4038012,Doppelschleife,"NordrÃ¶hre Hauptfahrbahn, Ostportal  Block 119 (MQ 5)",48.17769,11.587214
148,4039011,Doppelschleife,"NordrÃ¶hre Einfahrt Rampe LeopoldstraÃe, Block 90 (MQ 6)",48.177692,11.583436
149,4040011,Doppelschleife,NordrÃ¶hre Hauptfahrbahn Block 69 (MQ 7),48.177784,11.579213
150,4040012,Doppelschleife,NordrÃ¶hre Hauptfahrbahn Block 69 (MQ 7),48.17774,11.579213
151,4040013,Doppelschleife,NordrÃ¶hre Hauptfahrbahn Block 69 (MQ 7),48.177692,11.579214
152,4041011,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.17818,11.574544
153,4041012,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.178146,11.574544
154,4041013,Doppelschleife,NordrÃ¶hre Hauptfahrbahn + 1 Ausfahrt Knorr-/Belgradstr. Block 48 (MQ 8),48.17811,11.574544
155,4042011,Doppelschleife,null,0.0035730868,-4.4867268
156,4042012,Doppelschleife,null,0.0035730868,-4.4867268
157,4044011,Doppelschleife,Riemer Str. Haus Nr. 274 (ca. 20m Ã¶stlich Schatzbogen),48.13976,11.669388
158,4044012,Doppelschleife,Riemer Str. Haus Nr. 274 (ca. 20m Ã¶stlich Schatzbogen),48.13976,11.669388
159,4045011,Doppelschleife,Am Mitterfeld gegenÃ¼ber Hs. Nr. 150,48.13975,11.678177
160,4046011,Doppelschleife,Riemer Str / bei SB Mast 76,48.140068,11.677234
161,4047011,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 4,48.13913,11.690129
162,4047012,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 4,48.139194,11.690086
163,4048011,Doppelschleife,Olof Palme Str / bei SB Mast 2,48.138275,11.689418
164,4048012,Doppelschleife,Olof Palme Str / bei SB Mast 2,48.138275,11.689418
165,4049011,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 26,48.138264,11.688123
166,4049012,Doppelschleife,Am HÃ¼llgraben / HÃ¶he SB Mast 26,48.13833,11.688101
167,4050011,Doppelschleife,Am HÃ¼llgraben / bei SB Mast 27,48.138542,11.688272
168,4050012,Doppelschleife,Am HÃ¼llgraben / bei SB Mast 27,48.138508,11.688305
169,4051011,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 76,48.138065,11.707974
170,4051012,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 76,48.138065,11.707974
171,4054011,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.13832,11.705729
172,4054012,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138412,11.705771
173,4055011,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138527,11.705782
174,4055012,Doppelschleife,Paul Henri Spaak Str / bei SB Mast 66,48.138493,11.70575
175,4056011,Doppelschleife,bei SchilderbrÃ¼cke,48.13949,11.713142
176,4056012,Doppelschleife,bei SchilderbrÃ¼cke,48.13949,11.713228
177,4057011,Doppelschleife,De Gasperi Bogen bei Mast 61,48.13833,11.714044
178,4057012,Doppelschleife,De Gasperi Bogen bei Mast 61,48.13838,11.714119
179,4059011,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
180,4059012,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
181,4059013,Doppelschleife,Ottendichler Str bei SchilderbrÃ¼cke,48.13973,11.712385
182,4060011,Doppelschleife,Olof Palme Str / bei SB Mast 16,48.135986,11.690265
183,4060012,Doppelschleife,Olof Palme Str / bei SB Mast 16,48.135986,11.690265
