,detid,timestamp,flow,vehicleTypeFlow,speed,vehicleTypeSpeed,occupancy_percentage
184,4108011,2023-11-30T19:00:00.000+01:00,36,anyVehicle,40.32,carOrLightVehicle,3.0
185,4108012,2023-11-30T19:00:00.000+01:00,18,anyVehicle,41.04,carOrLightVehicle,1.0
186,4108021,2023-11-30T19:00:00.000+01:00,1,anyVehicle,32.4,carOrLightVehicle,0.0
187,4108022,2023-11-30T19:00:00.000+01:00,72,anyVehicle,39.96,carOrLightVehicle,7.0
188,4110011,2023-11-30T19:00:00.000+01:00,104,anyVehicle,44.64,carOrLightVehicle,8.0
189,4110012,2023-11-30T19:00:00.000+01:00,79,anyVehicle,45.0,carOrLightVehicle,6.0
190,4110021,2023-11-30T19:00:00.000+01:00,144,anyVehicle,38.16,carOrLightVehicle,11.0
191,4110022,2023-11-30T19:00:00.000+01:00,179,anyVehicle,41.76,carOrLightVehicle,12.0
192,4111011,2023-11-30T19:00:00.000+01:00,122,anyVehicle,32.04,carOrLightVehicle,22.0
193,4111012,2023-11-30T19:00:00.000+01:00,41,anyVehicle,25.92,carOrLightVehicle,6.0
194,4111013,2023-11-30T19:00:00.000+01:00,58,anyVehicle,47.16,carOrLightVehicle,4.0
195,4111014,2023-11-30T19:00:00.000+01:00,58,anyVehicle,45.36,carOrLightVehicle,4.0
196,4112011,2023-11-30T19:00:00.000+01:00,58,anyVehicle,31.68,carOrLightVehicle,7.0
197,4112012,2023-11-30T19:00:00.000+01:00,77,anyVehicle,38.88,carOrLightVehicle,7.0
198,4115011,2023-11-30T19:00:00.000+01:00,30,anyVehicle,39.6,carOrLightVehicle,2.0
199,4115012,2023-11-30T19:00:00.000+01:00,68,anyVehicle,42.48,carOrLightVehicle,5.0
200,4118011,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
201,4118012,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
202,4118013,2023-11-30T19:00:00.000+01:00,0,anyVehicle,0.0,carOrLightVehicle,100.0
203,4118014,2023-11-30T19:00:00.000+01:00,92,anyVehicle,43.2,carOrLightVehicle,6.0
204,4119011,2023-11-30T19:00:00.000+01:00,44,anyVehicle,0.0,carOrLightVehicle,6.0
205,4119012,2023-11-30T19:00:00.000+01:00,99,anyVehicle,0.0,carOrLightVehicle,22.0
206,4119013,2023-11-30T19:00:00.000+01:00,86,anyVehicle,0.0,carOrLightVehicle,14.0
207,4119014,2023-11-30T19:00:00.000+01:00,194,anyVehicle,0.0,carOrLightVehicle,20.0
208,4120011,2023-11-30T19:00:00.000+01:00,120,anyVehicle,41.04,carOrLightVehicle,6.0
209,4120021,2023-11-30T19:00:00.000+01:00,318,anyVehicle,31.32,carOrLightVehicle,27.0
210,4120022,2023-11-30T19:00:00.000+01:00,279,anyVehicle,43.92,carOrLightVehicle,15.0
211,4120031,2023-11-30T19:00:00.000+01:00,278,anyVehicle,20.52,carOrLightVehicle,38.0
212,4120041,2023-11-30T19:00:00.000+01:00,98,anyVehicle,29.16,carOrLightVehicle,16.0
213,4121011,2023-11-30T19:00:00.000+01:00,281,anyVehicle,50.4,carOrLightVehicle,13.0
214,4121012,2023-11-30T19:00:00.000+01:00,66,anyVehicle,55.08,carOrLightVehicle,2.0
215,4121021,2023-11-30T19:00:00.000+01:00,193,anyVehicle,53.64,carOrLightVehicle,8.0
216,4121022,2023-11-30T19:00:00.000+01:00,232,anyVehicle,56.52,carOrLightVehicle,9.0
217,4122011,2023-11-30T19:00:00.000+01:00,138,anyVehicle,39.6,carOrLightVehicle,12.0
218,4123011,2023-11-30T19:00:00.000+01:00,90,anyVehicle,46.8,carOrLightVehicle,4.0
219,4123012,2023-11-30T19:00:00.000+01:00,233,anyVehicle,48.96,carOrLightVehicle,11.0
