coordinate_id,distance_to_road,road_id,geom,origin_junction_id,origin_destination_id,road_key,kilometers,travel_time
2564,1711.0260484764897,"RoadId(start=1578742478, end=2382884, key=0)","LINESTRING (1292818.3684844002 6138509.9669060055, 1292811.2774328366 6138487.391237326, 1292802.6947000963 6138464.999305259, 1292787.210158927 6138427.378987554, 1292769.566019636 6138390.059395057, 1292758.5008622515 6138361.990493353, 1292745.1981831016 6138333.971776695, 1292727.3759326255 6138299.507879168, 1292709.5202863023 6138265.211095681, 1292667.942456491 6138195.265452562, 1292634.535477304 6138142.869210229, 1292592.4121819877 6138085.213677595, 1292532.5779556865 6138009.692697308, 1292479.901572643 6137951.637336025, 1292428.3161206094 6137900.211000407, 1292390.9795633974 6137866.516900032, 1292361.7693290133 6137840.6369823925, 1292327.1489673767 6137812.887118948, 1292316.128337788 6137803.603791215, 1292295.200273519 6137786.807004403, 1292273.459576967 6137771.012044097, 1292260.5353840857 6137761.678672165, 1292230.6127049606 6137741.509273489, 1292207.0686326579 6137726.231987423, 1292184.3260606888 6137712.240354823, 1292162.1512181228 6137698.966691103, 1292138.9633681905 6137685.54278043, 1292115.864573851 6137672.770049153, 1292092.164654261 6137660.331263812, 1292068.7764292455 6137648.293208237, 1292044.3863288125 6137636.455525163, 1292020.2522632086 6137624.884998855, 1291996.6080033642 6137614.1659971, 1291972.2846946258 6137604.131554354, 1291909.5227657165 6137579.320986029, 1291835.3951167974 6137554.844412391, 1291776.852196589 6137538.0815060325, 1291715.8713795324 6137520.767662121, 1291671.2322637243 6137506.642797085, 1291624.1218552208 6137489.713025029, 1291585.2379570864 6137473.267469842, 1291537.6600067215 6137450.878191194, 1291498.575733504 6137430.442390676, 1291457.320730216 6137406.634076777, 1291411.3123846713 6137378.384746767, 1291359.0033559473 6137341.620687424, 1291293.6588148517 6137288.895759002, 1291243.843342722 6137242.849364622, 1291187.4377567368 6137183.446876629, 1291149.9008244413 6137140.639943041, 1291116.0708311894 6137097.265585195, 1291071.1534166543 6137039.199718162, 1291026.8148634713 6136976.79354125, 1290995.3448434242 6136931.9842502745, 1290838.039270984 6136687.50728785, 1290774.2532027597 6136582.232757346, 1290711.5691974938 6136473.90451378)",1578742478,2382884,0,2.0233870000000005,104.1
2565,1680.956715645452,"RoadId(start=1578742478, end=2382884, key=0)","LINESTRING (1292818.3684844002 6138509.9669060055, 1292811.2774328366 6138487.391237326, 1292802.6947000963 6138464.999305259, 1292787.210158927 6138427.378987554, 1292769.566019636 6138390.059395057, 1292758.5008622515 6138361.990493353, 1292745.1981831016 6138333.971776695, 1292727.3759326255 6138299.507879168, 1292709.5202863023 6138265.211095681, 1292667.942456491 6138195.265452562, 1292634.535477304 6138142.869210229, 1292592.4121819877 6138085.213677595, 1292532.5779556865 6138009.692697308, 1292479.901572643 6137951.637336025, 1292428.3161206094 6137900.211000407, 1292390.9795633974 6137866.516900032, 1292361.7693290133 6137840.6369823925, 1292327.1489673767 6137812.887118948, 1292316.128337788 6137803.603791215, 1292295.200273519 6137786.807004403, 1292273.459576967 6137771.012044097, 1292260.5353840857 6137761.678672165, 1292230.6127049606 6137741.509273489, 1292207.0686326579 6137726.231987423, 1292184.3260606888 6137712.240354823, 1292162.1512181228 6137698.966691103, 1292138.9633681905 6137685.54278043, 1292115.864573851 6137672.770049153, 1292092.164654261 6137660.331263812, 1292068.7764292455 6137648.293208237, 1292044.3863288125 6137636.455525163, 1292020.2522632086 6137624.884998855, 1291996.6080033642 6137614.1659971, 1291972.2846946258 6137604.131554354, 1291909.5227657165 6137579.320986029, 1291835.3951167974 6137554.844412391, 1291776.852196589 6137538.0815060325, 1291715.8713795324 6137520.767662121, 1291671.2322637243 6137506.642797085, 1291624.1218552208 6137489.713025029, 1291585.2379570864 6137473.267469842, 1291537.6600067215 6137450.878191194, 1291498.575733504 6137430.442390676, 1291457.320730216 6137406.634076777, 1291411.3123846713 6137378.384746767, 1291359.0033559473 6137341.620687424, 1291293.6588148517 6137288.895759002, 1291243.843342722 6137242.849364622, 1291187.4377567368 6137183.446876629, 1291149.9008244413 6137140.639943041, 1291116.0708311894 6137097.265585195, 1291071.1534166543 6137039.199718162, 1291026.8148634713 6136976.79354125, 1290995.3448434242 6136931.9842502745, 1290838.039270984 6136687.50728785, 1290774.2532027597 6136582.232757346, 1290711.5691974938 6136473.90451378)",1578742478,2382884,0,2.0233870000000005,104.1
2566,1635.7009689233794,"RoadId(start=1578742478, end=2382884, key=0)","LINESTRING (1292818.3684844002 6138509.9669060055, 1292811.2774328366 6138487.391237326, 1292802.6947000963 6138464.999305259, 1292787.210158927 6138427.378987554, 1292769.566019636 6138390.059395057, 1292758.5008622515 6138361.990493353, 1292745.1981831016 6138333.971776695, 1292727.3759326255 6138299.507879168, 1292709.5202863023 6138265.211095681, 1292667.942456491 6138195.265452562, 1292634.535477304 6138142.869210229, 1292592.4121819877 6138085.213677595, 1292532.5779556865 6138009.692697308, 1292479.901572643 6137951.637336025, 1292428.3161206094 6137900.211000407, 1292390.9795633974 6137866.516900032, 1292361.7693290133 6137840.6369823925, 1292327.1489673767 6137812.887118948, 1292316.128337788 6137803.603791215, 1292295.200273519 6137786.807004403, 1292273.459576967 6137771.012044097, 1292260.5353840857 6137761.678672165, 1292230.6127049606 6137741.509273489, 1292207.0686326579 6137726.231987423, 1292184.3260606888 6137712.240354823, 1292162.1512181228 6137698.966691103, 1292138.9633681905 6137685.54278043, 1292115.864573851 6137672.770049153, 1292092.164654261 6137660.331263812, 1292068.7764292455 6137648.293208237, 1292044.3863288125 6137636.455525163, 1292020.2522632086 6137624.884998855, 1291996.6080033642 6137614.1659971, 1291972.2846946258 6137604.131554354, 1291909.5227657165 6137579.320986029, 1291835.3951167974 6137554.844412391, 1291776.852196589 6137538.0815060325, 1291715.8713795324 6137520.767662121, 1291671.2322637243 6137506.642797085, 1291624.1218552208 6137489.713025029, 1291585.2379570864 6137473.267469842, 1291537.6600067215 6137450.878191194, 1291498.575733504 6137430.442390676, 1291457.320730216 6137406.634076777, 1291411.3123846713 6137378.384746767, 1291359.0033559473 6137341.620687424, 1291293.6588148517 6137288.895759002, 1291243.843342722 6137242.849364622, 1291187.4377567368 6137183.446876629, 1291149.9008244413 6137140.639943041, 1291116.0708311894 6137097.265585195, 1291071.1534166543 6137039.199718162, 1291026.8148634713 6136976.79354125, 1290995.3448434242 6136931.9842502745, 1290838.039270984 6136687.50728785, 1290774.2532027597 6136582.232757346, 1290711.5691974938 6136473.90451378)",1578742478,2382884,0,2.0233870000000005,104.1
2567,181.9821199555999,"RoadId(start=21324004, end=21324003, key=0)","LINESTRING (1286434.0621040168 6130527.403508312, 1286417.0190899766 6130529.02170496)",21324004,21324003,0,0.011411,0.8
2568,294.3716922395827,"RoadId(start=21324004, end=21324003, key=0)","LINESTRING (1286434.0621040168 6130527.403508312, 1286417.0190899766 6130529.02170496)",21324004,21324003,0,0.011411,0.8
2569,278.47456528273364,"RoadId(start=21324004, end=21324003, key=0)","LINESTRING (1286434.0621040168 6130527.403508312, 1286417.0190899766 6130529.02170496)",21324004,21324003,0,0.011411,0.8
2570,303.4312886071159,"RoadId(start=21324004, end=21324003, key=0)","LINESTRING (1286434.0621040168 6130527.403508312, 1286417.0190899766 6130529.02170496)",21324004,21324003,0,0.011411,0.8
2571,414.71585215375006,"RoadId(start=21326677, end=21326676, key=0)","LINESTRING (1285699.9768539297 6131185.96807453, 1285687.3309597755 6131189.655177692, 1285541.6248782764 6131234.7347302, 1285479.3527551265 6131253.804353265, 1285371.896050664 6131286.838446478, 1285366.307812226 6131288.556890169, 1285350.188749959 6131293.512016137)",21326677,21326676,0,0.2439,17.6
2572,418.52258907977324,"RoadId(start=21326677, end=21326676, key=0)","LINESTRING (1285699.9768539297 6131185.96807453, 1285687.3309597755 6131189.655177692, 1285541.6248782764 6131234.7347302, 1285479.3527551265 6131253.804353265, 1285371.896050664 6131286.838446478, 1285366.307812226 6131288.556890169, 1285350.188749959 6131293.512016137)",21326677,21326676,0,0.2439,17.6
2573,476.13095583171815,"RoadId(start=21326677, end=21326676, key=0)","LINESTRING (1285699.9768539297 6131185.96807453, 1285687.3309597755 6131189.655177692, 1285541.6248782764 6131234.7347302, 1285479.3527551265 6131253.804353265, 1285371.896050664 6131286.838446478, 1285366.307812226 6131288.556890169, 1285350.188749959 6131293.512016137)",21326677,21326676,0,0.2439,17.6
